"","parentId","stationId","name","Location_Easting","Location_Northing"
"315","490G00007707","490G00007707","Hammersmith Hospital",522594,181170
"316","490G00014971","490G00014971","Wulfstan Street",521972,181082
"317","490G00065H","490G00065H","East Acton Station",521626,181038
"318","490G00014446","490G00014446","Westway",521597,180935
"319","490G00011944","490G00011944","East Acton Lane / Old Oak Road",521640,180840
"320","490G00008744","490G00008744","King Fahad Academy",521458,180753
"321","490G00012067","490G00012067","Beechwood Grove",521202,180675
"322","490G00012016","490G00012016","Shaa Road",521060,180571
"323","490G00015431","490G00015431","Acton Park / Greenview Close",521071,180115
"324","490G00003084","490G00003084","Acton Park",520798,180042
"325","490G01002H","490G01002H","Acton Central Station",520603.333333333,180047.666666667
"326","490G00003083","490G00003083","Acton Old Town Hall",520266.75,180063
"327","490G00007604","490G00007604","Steyne Road",519887,180197
"328","490G00003089","490G00003089","Denehurst Gardens",519631,180227
"329","490G00013879","490G00013879","Twyford Avenue",519322,180247
"330","490G00004009","490G00004009","Birch Grove",519068,180351
"331","490G00063U","490G00063U","Ealing Common Station",518943,180408
"332","490G00007749","490G00007749","Hanger Lane",518537,180580
"333","490G00062H","490G00062H","Ealing Broadway Station",518016.666666667,180817
"334","490G000578","490G000578","Haven Grn / Ealing Broadway Stn",517768,180995
"335","490G00006279","490G00006279","Castlebar Road",517605,181175
"336","490G00009636","490G00009636","Marchwood Crescent",517607,181542
"337","490G00010001","490G00010001","Montpelier Road",517517,181721
"338","490G00005149","490G00005149","Fairlea Place",517429,182004
"339","490G00012634","490G00012634","St Barnabas Church",517406,182182
"340","490G00019883","490G00019883","Harrow View Road",516986,182108
"341","490G00008654","490G00008654","Kent Gardens",516793,182039
"342","490G00011949","490G00011949","Scotch Common",516326,182030
"343","490G00011787","490G00011787","Ruislip Road East",516203,182270
"344","490G00007609","490G00007609","Gurnell Leisure Centre",515748,182359
"345","490G00005880","490G00005880","Cuckoo Avenue",515437,182274
"346","490G00007443","490G00007443","Greenford Avenue",515172,182238
"347","490G00007441","490G00007441","Clifton Road",514499,182223
"348","490G00007446","490G00007446","Greenford Broadway",514252,182291
"349","490G00010897","490G00010897","Pembroke Road",513874,182362
"350","490G00006370","490G00006370","Beechwood Avenue",513540,182589
"351","490G00007457","490G00007457","Greenford High School",513160,182763
"352","490G00003116","490G00003116","Adrienne Avenue",512966,182782
"353","490G00004373","490G00004373","Broadmead Road",512478,182774
"354","490G00008596","490G00008596","Wayfarer Road",512012,182856
"355","490G00014992","490G00014992","Yeading / White Hart Roundabout",511807.5,183247
"356","490G00003891","490G00003891","Bengarth Road / Northolt Library",512090,183514
