from,to,line,latitude.x,longitude.x,name.x,display_name.x,zone.x,total_lines.x,rail.x,latitude.y,longitude.y,name.y,display_name.y,zone.y,total_lines.y,rail.y,geometry
44,161,3,51.5113,-0.0904,Cannon Street,Cannon<br />Street,1,2,0,51.5122,-0.094,Mansion House,Mansion<br />House,1,2,0,"(-0.090400 51.511300, -0.094000 51.512200)"
44,166,3,51.5113,-0.0904,Cannon Street,Cannon<br />Street,1,2,0,51.5108,-0.0863,Monument,NULL,1,2,0,"(-0.090400 51.511300, -0.086300 51.510800)"
83,193,3,51.5203,-0.17,Edgware Road (C),Edgware<br />Road,1,3,0,51.5154,-0.1755,Paddington,NULL,1,4,1,"(-0.170000 51.520300, -0.175500 51.515400)"
87,255,3,51.5074,-0.1223,Embankment,NULL,1,4,0,51.5111,-0.1141,Temple,NULL,1,2,0,"(-0.122300 51.507400, -0.114100 51.511100)"
87,285,3,51.5074,-0.1223,Embankment,NULL,1,4,0,51.501,-0.1254,Westminster,NULL,1,3,0,"(-0.122300 51.507400, -0.125400 51.501000)"
90,104,3,51.526,-0.1359,Euston Square,Euston<br />Square,1,3,0,51.5238,-0.1439,Great Portland Street,Great<br />Portland<br />Street,1,3,0,"(-0.135900 51.526000, -0.143900 51.523800)"
90,145,3,51.526,-0.1359,Euston Square,Euston<br />Square,1,3,0,51.5308,-0.1238,King's Cross St. Pancras,King's Cross<br />St. Pancras,1,6,1,"(-0.135900 51.526000, -0.123800 51.530800)"
92,145,3,51.5203,-0.1053,Farringdon,NULL,1,3,1,51.5308,-0.1238,King's Cross St. Pancras,King's Cross<br />St. Pancras,1,6,1,"(-0.105300 51.520300, -0.123800 51.530800)"
99,122,3,51.4945,-0.1829,Gloucester Road,Gloucester<br />Road,1,3,0,51.5009,-0.1925,High Street Kensington,High<br />Street<br />Kensington,1,2,0,"(-0.182900 51.494500, -0.192500 51.500900)"
99,236,3,51.4945,-0.1829,Gloucester Road,Gloucester<br />Road,1,3,0,51.4941,-0.1738,South Kensington,South<br />Kensington,1,3,0,"(-0.182900 51.494500, -0.173800 51.494100)"
122,186,3,51.5009,-0.1925,High Street Kensington,High<br />Street<br />Kensington,1,2,0,51.5094,-0.1967,Notting Hill Gate,Notting<br />Hill Gate,1.5,3,0,"(-0.192500 51.500900, -0.196700 51.509400)"
156,167,3,51.5178,-0.0823,Liverpool Street,Liverpool<br />Street,1,4,1,51.5186,-0.0886,Moorgate,NULL,1,4,1,"(-0.082300 51.517800, -0.088600 51.518600)"
150,309,3,51.5139,-0.2172,Latimer Road,Latimer<br />Road,2,1,0,51.510031,-0.224301,Wood Lane,Wood<br />Lane,2,2,0,"(-0.217200 51.513900, -0.224301 51.510031)"
166,263,3,51.5108,-0.0863,Monument,NULL,1,2,0,51.5098,-0.0766,Tower Hill,Tower<br />Hill,1,2,0,"(-0.086300 51.510800, -0.076600 51.509800)"
229,236,3,51.4924,-0.1565,Sloane Square,Sloane<br />Square,1,2,0,51.4941,-0.1738,South Kensington,South<br />Kensington,1,3,0,"(-0.156500 51.492400, -0.173800 51.494100)"
229,273,3,51.4924,-0.1565,Sloane Square,Sloane<br />Square,1,2,0,51.4965,-0.1447,Victoria,NULL,1,3,1,"(-0.156500 51.492400, -0.144700 51.496500)"
248,273,3,51.4994,-0.1335,St. James's Park,St. James's<br />Park,1,2,0,51.4965,-0.1447,Victoria,NULL,1,3,1,"(-0.133500 51.499400, -0.144700 51.496500)"
248,285,3,51.4994,-0.1335,St. James's Park,St. James's<br />Park,1,2,0,51.501,-0.1254,Westminster,NULL,1,3,0,"(-0.133500 51.499400, -0.125400 51.501000)"
