name	highway	maxheight	@lat	@lon
Blackwall Tunnel	trunk	4	51.5090993	-0.0071199
Blackwall Tunnel Approach	trunk	4	51.4989430	0.0014089
Blackwall Tunnel Approach	trunk	4	51.4990126	0.0013801
Blackwall Tunnel Approach	trunk	4	51.4978478	0.0017323
Blackwall Tunnel Approach	trunk	4	51.4967543	0.0020492
Wick Road	primary	3.4	51.5447187	-0.0320461
East Poultry Avenue	residential	4.65	51.5188938	-0.1027151
Pavilion Lane	service	4.7	51.4980325	0.0024466
	service	default	51.5157916	-0.2217605
	service	3.4	51.5316909	-0.2421965
Stanhope Way	unclassified	none	51.4948240	-0.2730848
Wood Street	secondary	4.1	51.5864018	-0.0026317
	service	below_default	51.4914459	-0.1217182
	service	2.3	51.4687210	-0.0317854
St Katharine's Way	unclassified	3.9	51.5065602	-0.0720421
French Ordinary Court	service	"7'9"""	51.5113297	-0.0785910
	service	2.2	51.5214252	-0.1625943
	service	below_default	51.5216130	-0.1239584
Canal Reach	residential	none	51.5393215	-0.1251763
Bow Common Lane	tertiary	4.1	51.5207391	-0.0272890
Latchmere Road	trunk	4.7	51.4679429	-0.1630561
Vyner Street	unclassified	4.3	51.5347003	-0.0549137
	service	2	51.5733999	-0.0378167
	service	2	51.5732057	-0.0376231
	service	2	51.5602109	-0.3086469
Butcher Row	trunk	default	51.5123040	-0.0416139
	service	2	51.5732710	-0.0383182
	service	4.4	51.5423547	0.0046671
Grafton Mews	residential	below_default	51.5231930	-0.1387128
Radnor Mews	residential	below_default	51.5144855	-0.1725909
Manette Street	unclassified	2.5	51.5146239	-0.1310311
Percy Mews	service	below_default	51.5177662	-0.1340548
Newman Passage	service	below_default	51.5179513	-0.1357158
Ferry Approach	trunk	4.8	51.4948634	0.0617818
Moor Lane	tertiary	4.6	51.3654139	-0.2992535
Bridge Road	tertiary	4.8	51.3634446	-0.3015906
Bridge Road	tertiary	4.8	51.3633963	-0.3015809
Lea Bridge Road	primary	4.9	51.5736630	-0.0152314
Grosvenor Cottages	unclassified	below_default	51.4940750	-0.1556207
	service	"6'3"""	51.5203003	-0.0955305
Christchurch Avenue	tertiary	"14'9"""	51.5466683	-0.2043196
Chilworth Mews	residential	"7'3"""	51.5149370	-0.1770652
	path	"5'11"""	51.4417393	-0.3670210
Brent Road	residential	2.25	51.5031530	-0.4004697
Chapone Place	service	3.1	51.5143024	-0.1327023
Fairfield Road	secondary	4.1	51.5307019	-0.0220116
Three Colts Lane	secondary	"15'6"""	51.5245172	-0.0570753
	service	default	51.4346003	-0.0187758
Skerne Road	cycleway	3.8	51.4131666	-0.3051384
Talbot Court	service	3	51.5112113	-0.0853590
Canal Reach	unclassified	none	51.5385522	-0.1266628
	service	2.1	51.5144108	-0.1429069
	service	2.1	51.5142963	-0.1428497
	service	2.1	51.5141864	-0.1427933
High Street	primary	4.8	51.4148984	-0.3130359
Popes Grove	residential	3.8	51.4417012	-0.3390706
	trunk_link	4.7	51.5097340	-0.0068440
Blackwall Tunnel Approach	trunk	4	51.4966154	0.0021026
Blackwall Tunnel Northern Approach	trunk	4.7	51.5097318	-0.0068595
Mortlake Road	trunk	4.5	51.4803402	-0.2830185
Orchard Place	residential	"14'3"""	51.6029871	-0.0707139
Village Way	primary	"14'3"""	51.4526990	-0.0908147
Whitehall Street	residential	"13'9"""	51.6036484	-0.0708119
White Hart Lane	tertiary	"14'3"""	51.6053764	-0.0710600
	service	4.4	51.5486284	-0.0659519
	service	3.55	51.5017089	-0.1588710
Colne Road	residential	"13'6"""	51.4453996	-0.3387156
Alexandra Avenue	primary	4.5	51.5574135	-0.3620777
Alexandra Avenue	primary	4.5	51.5575669	-0.3622896
Northolt Road	primary	4.5	51.5569554	-0.3620557
Northolt Road	primary	4.5	51.5575390	-0.3619864
Hamilton Mews	service	2	51.5041787	-0.1496194
Hamilton Mews	service	2	51.5040696	-0.1499494
Hamilton Mews	service	2	51.5042830	-0.1493034
	service	"10'5"""	51.5045594	-0.1495882
Cox Lane	tertiary	4.6	51.3690252	-0.2947319
	service	2.6	51.5387936	0.0814510
Green Park Way	unclassified	5.1	51.5421809	-0.3371739
Chalk Hill Road	service	default	51.4922777	-0.2207976
Goldhawk Road	primary	"15'9"""	51.5024000	-0.2266914
	service	3.9	51.5010383	-0.1160836
	service	3.9	51.5007818	-0.1162881
Brixton Road	trunk	4.8	51.4633938	-0.1147806
	service	default	51.5259636	-0.1295239
	service	2.8	51.5146776	-0.1627088
Portobello Road	residential	4	51.5186506	-0.2071688
Wellington Close	service	below_default	51.5151402	-0.1991595
Edgware Road	primary	4.8	51.5617471	-0.2207797
Dudmaston Mews	unclassified	default	51.4896818	-0.1747570
	service	3.4	51.5318489	-0.2440288
Connaught Bridge	primary	"17'0"""	51.5065899	0.0398223
Connaught Bridge	primary	"17'0"""	51.5065803	0.0399740
Connaught Bridge	primary	"17'0"""	51.5075326	0.0399586
Connaught Bridge	primary	"17'0"""	51.5057653	0.0398654
Montague Street	primary	default	51.5176319	-0.0977154
Old Kent Road	trunk	default	51.4786032	-0.0542287
Deptford High Street	unclassified	4.7	51.4788296	-0.0260651
Sutherland Square	residential	4.6	51.4856175	-0.0962041
Sutherland Square	residential	4.8	51.4858823	-0.0967390
Croxted Road	primary	4.7	51.4503059	-0.1001947
Hornshay Street	unclassified	4.5	51.4809592	-0.0530000
Queen's Road	trunk	"15'0"""	51.4734204	-0.0575938
Latchmere Road	trunk	3.5	51.4702839	-0.1643599
Boundaries Road	residential	4.6	51.4434980	-0.1551395
Burbage Road	tertiary	7.60	51.4506406	-0.0947778
Wilkin Street	residential	3.8	51.5481691	-0.1466391
Athlone Street	unclassified	"15'3"""	51.5485636	-0.1469730
Grafton Road	residential	"12'6"""	51.5487650	-0.1471244
Silchester Road	tertiary	4.7	51.5148638	-0.2160209
St. Mark's Road	residential	default	51.5167200	-0.2137127
The Gardens	tertiary	4.4	51.5798001	-0.3527459
